edgeId,bucket,relationship,confidence,method,verdict,reason,suggested_rel,suggested_conf
69f56b28e3438157751ac1be,assumes|mid,assumes,p,note-citation,wrong,"Both chunks are empty, no content to validate any relationship between them",,
69f56b28e3438157751ac02e,assumes|high,assumes,u,note-citation,wrong,"Both source and target chunks are empty, containing no text. No meaningful relationship can exist between empty chunks.",,
69f56b28e3438157751abefe,assumes|high,assumes,s,note-citation,wrong,"Both chunks are empty text; no content to verify any relationship between them",,
69f56b28e3438157751ac27b,proves|high,proves,s,note-citation,wrong,"Both source and target chunks contain no text; an empty-to-empty edge cannot constitute a proof relationship",,
69f56b28e3438157751ac0ed,proves|high,proves,s,note-citation,wrong,"Both source and target chunks are empty, containing no text. No proof relationship can exist between empty chunks.",,
69f56b28e3438157751abfbf,proves|high,proves,s,note-citation,wrong,"Both source and target chunks contain no text; an empty chunk cannot prove anything about another empty chunk",,
69f56b28e3438157751abfa9,proves|high,proves,s,note-citation,wrong,"Both source and target chunks are empty, containing no text. No proof relationship can exist between empty chunks.",,
69f56b28e3438157751ac364,proves|mid,proves,r,note-citation,wrong,"Both source and target chunks are empty, containing no text. No proof or any relationship can exist between them.",,
69f56b28e3438157751abf0f,proves|mid,proves,r,note-citation,wrong,"Both source and target chunks contain no text; an empty chunk cannot prove anything about another empty chunk",,
69f56b28e3438157751abf19,proves|mid,proves,r,note-citation,wrong,"Both source and target chunks are empty, no content to establish a proves relationship",,
69f56b28e3438157751abf42,proves|mid,proves,r,note-citation,wrong,"Both source and target chunks are empty, containing no text. No proof relationship can exist between empty chunks.",,
69f56b28e3438157751ac02d,proves|mid,proves,r,note-citation,wrong,"Both source and target chunks are empty, containing no text. No proof or any relationship can exist between them.",,
69f56b28e3438157751ac127,proves|mid,proves,r,note-citation,wrong,"Both source and target chunks contain no text; an empty-to-empty edge cannot constitute a proof relationship",,
69dd8e3c80828aabae2d18fc,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks contain no text; no meaningful relationship can exist between empty chunks",,
69dd8e3d80828aabae2d1916,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks contain no text; an edge between empty chunks is meaningless and misleading",,
69dd8e2f80828aabae2d17c6,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks contain no text; cannot validate any relationship between empty chunks",,
69dd8e1280828aabae2d1520,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks contain no text; no definition usage can be verified from empty content",,
69dd8e1080828aabae2d14f6,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks are empty — no text content to support any relationship",,
69dd8e3d80828aabae2d191e,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks contain no text; no actual content to establish a uses_definition relationship",,
69dd8e3b80828aabae2d18e6,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks contain no text; cannot verify any definition usage or meaningful connection",,
69dd8e4180828aabae2d1974,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks contain no text; empty chunks cannot establish a uses_definition relationship",,
69dd8e3a80828aabae2d18dc,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks contain no text, making any claimed relationship unverifiable and misleading",,
69dd8e4680828aabae2d19e6,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks contain no text; no meaningful connection can be verified between empty chunks",,
69dd8e0980828aabae2d144e,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks are empty — no text content to establish any definitional relationship",,
69dd8e4980828aabae2d1a36,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Source chunk text is empty; no content to verify any relationship or definition usage",,
69dd8e5e80828aabae2d1c32,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks contain no text; an edge between two empty chunks cannot be meaningful or verified",,
69dd8e0680828aabae2d140a,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks are empty — no text content to support any relationship claim",,
69dd8e0f80828aabae2d14d2,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks are empty - no text content to verify any relationship between them",,
69dd8e5c80828aabae2d1bfc,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks contain no text; cannot validate any relationship between empty chunks",,
69dd8e3e80828aabae2d193a,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks are empty; no content to validate any relationship",,
69dd8e4080828aabae2d1960,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks contain no text, making the edge meaningless and unable to support any relationship.",,
69dd8e4280828aabae2d1998,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks are empty — no text content to validate any relationship",,
69dd8e1980828aabae2d15bc,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks contain no text, making it impossible to verify any meaningful relationship between them",,
69dd8e1680828aabae2d157a,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks contain no text; cannot verify any definitional relationship between empty chunks",,
69dd8e1680828aabae2d1574,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks are empty - no text content to establish any relationship between them",,
69dd8e0480828aabae2d13ce,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks are empty; no textual content to support any relationship",,
69dd8e1080828aabae2d14f0,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks contain no text; an edge between empty chunks cannot be meaningful or verified",,
69dd8e0a80828aabae2d1462,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks contain no text; no definition usage or any connection can be verified",,
69dd8e0f80828aabae2d14e4,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks are empty, containing no text. No meaningful relationship can exist between empty chunks.",,
69dd8e5a80828aabae2d1bc6,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Source chunk text is empty; no content to verify any relationship or definition usage",,
69dd8e0580828aabae2d13f0,uses_definition|high,uses_definition,z,canonical-lookup,wrong,"Both source and target chunks contain no text; no definition usage or any connection can be verified",,
